handle,product_id,title,main_collection,main_collection_title,popularity_ratio,merch_tier,popularity_trend,age_status,rank_in_main_collection,sold_out,views_90d,add_to_cart,purchased,popularity_updated,url
vespera-skirt,10833797644621,Vespera  Skirt,peonies-skirts,Peonies · Skirts,0.92,New,New,New,8,no,79,1,0,2026-09-23,https://myacollection.com/products/vespera-skirt
amorette-dress,10833895883085,Amorette Dress,peonies-dress,Peonies · Dresses,0.91,New,New,New,30,no,917,21,0,2026-09-23,https://myacollection.com/products/amorette-dress
indira-top,10563199992141,Indira Τοπ,ss26-sirens-tops,Sirens · Tops,0.91,Average,Fading,Established,18,yes,1918,0,0,2026-09-23,https://myacollection.com/products/indira-top
lottie-skirt,10222371340621,Lottie Skirt,archive-sale,Archive Sale,0.91,New,New,New,27,yes,79,5,1,2026-09-23,https://myacollection.com/products/lottie-skirt
copy-copy-72,10633888858445,Nymia Φόρεμα,monochrome,Ρούχα Περίστασης (Occasion wear),0.91,Average,Steady,Established,16,no,2418,62,5,2026-09-23,https://myacollection.com/products/copy-copy-72
solea,10740788068685,Solea Φούστα,ss26-sirens-skirts,Sirens · Skirts,0.91,Average,New,Ramping,13,no,1956,94,3,2026-09-23,https://myacollection.com/products/solea
ioli,10728698184013,Ioli Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,0.90,Average,New,Ramping,21,no,6327,46,1,2026-09-23,https://myacollection.com/products/ioli
maristella-cape-1,10834734645581,Maristella Cape,peonies-tops,Peonies · Tops,0.90,New,New,New,11,no,283,6,1,2026-09-23,https://myacollection.com/products/maristella-cape-1
solea-1,10740803436877,Solea Τοπ,ss26-sirens-tops,Sirens · Tops,0.90,Average,New,Ramping,19,no,1372,82,5,2026-09-23,https://myacollection.com/products/solea-1
calyra-dress,10563075998029,Calyra Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,0.89,Average,Fading,Established,22,yes,5681,47,5,2026-09-23,https://myacollection.com/products/calyra-dress
dolon-dress,9101691617613,Dolon Dress,archive-sale,Archive Sale,0.89,New,New,New,29,no,86,1,0,2026-09-23,https://myacollection.com/products/dolon-dress
floridita-skirt,4505870073955,FLORIDITA SKIRT,archive-sale,Archive Sale,0.89,New,New,New,28,no,118,4,0,2026-09-23,https://myacollection.com/products/floridita-skirt
faline-dress,10833966629197,Faline Dress,peonies-dress,Peonies · Dresses,0.89,New,New,New,31,no,997,5,0,2026-09-23,https://myacollection.com/products/faline-dress
thirea,10633937944909,Thirea Φόρεμα,monochrome,Ρούχα Περίστασης (Occasion wear),0.89,Average,Fading,Established,17,no,2947,11,1,2026-09-23,https://myacollection.com/products/thirea
amelie-kids-set,10700490932557,Amelie Kids Set,ss26-sirens-kids,Sirens · Kids,0.88,Average,Rising,Established,8,yes,499,7,0,2026-09-23,https://myacollection.com/products/amelie-kids-set
aster-kimono,10559208358221,Aster Κιμονό,ss26-sirens-kimono-dresses,Sirens · Kimono dresses,0.88,Average,Steady,Established,12,yes,3754,22,0,2026-09-23,https://myacollection.com/products/aster-kimono
dalia,10731582325069,Dalia Τουρμπάνι,ss26-sirens-accessories,Sirens · Accessories,0.88,Average,New,Ramping,7,yes,886,18,2,2026-09-23,https://myacollection.com/products/dalia
elowen-skirt-1,10833793253709,Elowen  Skirt,peonies-skirts,Peonies · Skirts,0.88,New,New,New,9,no,99,2,0,2026-09-23,https://myacollection.com/products/elowen-skirt-1
maelle-top,10831601533261,Maelle Top,peonies-tops,Peonies · Tops,0.88,New,New,New,12,no,119,12,0,2026-09-23,https://myacollection.com/products/maelle-top
thalia-dress,10563095920973,Thalia Φόρεμα,ss26-sirens,Sirens SS26,0.88,Average,Steady,Established,99,yes,3106,14,0,2026-09-23,https://myacollection.com/products/thalia-dress
valeria-kimono,10833826283853,Valeria Kimono,peonies-kimono-dress,Peonies · Kimono dresses,0.88,New,New,New,4,no,533,10,0,2026-09-23,https://myacollection.com/products/valeria-kimono
copy-copy-73,10633890300237,Velina Φόρεμα,ss26-sirens,Sirens SS26,0.88,Average,Steady,Established,98,yes,3514,125,7,2026-09-23,https://myacollection.com/products/copy-copy-73
aveline-top-1,10831558803789,Aveline Top,peonies-tops,Peonies · Tops,0.87,New,New,New,13,no,111,9,1,2026-09-23,https://myacollection.com/products/aveline-top-1
calista-top,10831609299277,Calista Top,peonies-tops,Peonies · Tops,0.87,New,New,New,15,no,207,12,1,2026-09-23,https://myacollection.com/products/calista-top
cassia-top,10831707406669,Cassia Top,peonies-tops,Peonies · Tops,0.87,New,New,New,14,no,114,7,1,2026-09-23,https://myacollection.com/products/cassia-top
ivoria-dress,10332606890317,Ivoria Φόρεμα,archive-sale,Archive Sale,0.87,Average,Fading,Established,30,yes,625,12,1,2026-09-23,https://myacollection.com/products/ivoria-dress
sabine-kimono,10833829331277,Sabine Kimono,peonies-kimono-dress,Peonies · Kimono dresses,0.87,New,New,New,5,no,531,8,1,2026-09-23,https://myacollection.com/products/sabine-kimono
cloe-dress,10566161531213,Cloe Φόρεμα,ss26-sirens,Sirens SS26,0.86,Average,Fading,Established,100,yes,3186,57,4,2026-09-23,https://myacollection.com/products/cloe-dress
elara-top,10831695315277,Elara Top,peonies-tops,Peonies · Tops,0.86,New,New,New,16,no,222,10,1,2026-09-23,https://myacollection.com/products/elara-top
evania-top,10831701770573,Evania Top,peonies-tops,Peonies · Tops,0.86,New,New,New,17,no,131,11,2,2026-09-23,https://myacollection.com/products/evania-top
debbie-pants,10564787011917,Debbie Παντελόνα,ss26-sirens-pants,Sirens · Pants,0.85,Average,Rising,Established,5,no,1455,42,2,2026-09-23,https://myacollection.com/products/debbie-pants
eira-dress-1,10833964007757,Eira Dress,peonies-dress,Peonies · Dresses,0.85,New,New,New,32,no,539,9,2,2026-09-23,https://myacollection.com/products/eira-dress-1
elowen-top,10831611429197,Elowen Top,peonies-tops,Peonies · Tops,0.85,New,New,New,18,no,255,5,0,2026-09-23,https://myacollection.com/products/elowen-top
elyra-top,10563231154509,Elyra Τοπ,ss26-sirens-tops,Sirens · Tops,0.85,Average,Fading,Established,20,no,1849,43,0,2026-09-23,https://myacollection.com/products/elyra-top
gold-underdress-long-1,10566350635341,Gold Underdress Long,underdress,Peonies · Underdress,0.85,Average,Rising,Established,3,no,1142,67,8,2026-09-23,https://myacollection.com/products/gold-underdress-long-1
aveline-skirt,10831781691725,Aveline Skirt,peonies-skirts,Peonies · Skirts,0.84,New,New,New,10,no,171,4,1,2026-09-23,https://myacollection.com/products/aveline-skirt
irida-kimono,10730818896205,Irida Κιμονό,ss26-sirens-kimono-dresses,Sirens · Kimono dresses,0.84,Average,New,Ramping,13,yes,3815,24,1,2026-09-23,https://myacollection.com/products/irida-kimono
oriane-top,10831663268173,Oriane Top,peonies-tops,Peonies · Tops,0.84,New,New,New,19,no,126,5,0,2026-09-23,https://myacollection.com/products/oriane-top
arina-dress,6728686010467,ARINA DRESS,archive-sale,Archive Sale,0.83,New,New,New,31,no,106,1,0,2026-09-23,https://myacollection.com/products/arina-dress
melisande-top,10831618048333,Althea Top,peonies-tops,Peonies · Tops,0.83,New,New,New,20,no,138,4,1,2026-09-23,https://myacollection.com/products/melisande-top
calypso-pants,10559196856653,Calypso Παντελόνα,ss26-sirens-pants,Sirens · Pants,0.83,Average,Steady,Established,6,yes,1288,16,1,2026-09-23,https://myacollection.com/products/calypso-pants
nerissa-kids,10703250948429,Nerissa Kids Μπλε Κιμονό,ss26-sirens-kids,Sirens · Kids,0.83,Average,Fading,Established,9,no,601,5,0,2026-09-23,https://myacollection.com/products/nerissa-kids
rafaela-jumsuit,10834723832141,Rafaela Jumsuit,peonies-jumpsuits,Peonies · Jumpsuits,0.83,New,New,New,4,no,524,6,0,2026-09-23,https://myacollection.com/products/rafaela-jumsuit
zinnia-cape,10834735432013,Zinnia Cape,peonies-tops,Peonies · Tops,0.83,New,New,New,21,no,192,4,0,2026-09-23,https://myacollection.com/products/zinnia-cape
celeste-dress-1,10847613124941,Celeste Dress,peonies-dress,Peonies · Dresses,0.82,New,New,New,33,no,544,4,0,2026-09-23,https://myacollection.com/products/celeste-dress-1
jessica-top,8155052146969,JESSICA TOP,archive-sale,Archive Sale,0.82,New,New,New,32,no,117,6,0,2026-09-23,https://myacollection.com/products/jessica-top
zelie-cape-1,10831669330253,Zelie Cape,peonies-tops,Peonies · Tops,0.82,New,New,New,22,no,225,1,0,2026-09-23,https://myacollection.com/products/zelie-cape-1
odessa-dress,10834099208525,Odessa Dress,peonies-dress,Peonies · Dresses,0.81,New,New,New,34,no,806,14,0,2026-09-23,https://myacollection.com/products/odessa-dress
gloria-dress,8171401183513,Gloria Dress,archive-sale,Archive Sale,0.80,New,New,New,33,yes,124,1,0,2026-09-23,https://myacollection.com/products/gloria-dress
lysandra-skirt,10833814716749,Lysandra Skirt,peonies-skirts,Peonies · Skirts,0.80,New,New,New,11,no,186,0,0,2026-09-23,https://myacollection.com/products/lysandra-skirt
sereia-kimono,10833841258829,Sereia Kimono,peonies-kimono-dress,Peonies · Kimono dresses,0.80,New,New,New,6,no,461,6,1,2026-09-23,https://myacollection.com/products/sereia-kimono
leonora-cape,10831717695821,Leonora Cape,peonies-tops,Peonies · Tops,0.79,New,New,New,23,no,190,1,0,2026-09-23,https://myacollection.com/products/leonora-cape
monique-kimono,10566047891789,Monique Κιμονό,ss26-sirens-kimono-dresses,Sirens · Kimono dresses,0.79,Average,Fading,Established,14,yes,3169,6,1,2026-09-23,https://myacollection.com/products/monique-kimono
virelia-dress,10847552897357,Virelia Dress,peonies-dress,Peonies · Dresses,0.79,New,New,New,35,no,849,6,2,2026-09-23,https://myacollection.com/products/virelia-dress
zaria-jumpsuit,10563145236813,Zaria Ολόσωμη φόρμα,ss26-sirens-jumpsuits,Sirens · Jumpsuits,0.79,Average,Rising,Established,7,yes,2725,51,2,2026-09-23,https://myacollection.com/products/zaria-jumpsuit
sorelia-dress,10833926947149,Sorelia Dress,peonies-dress,Peonies · Dresses,0.78,New,New,New,36,no,217,4,0,2026-09-23,https://myacollection.com/products/sorelia-dress
zafira-dress,10833902534989,Zafira Dress,peonies-dress,Peonies · Dresses,0.78,New,New,New,37,no,705,20,1,2026-09-23,https://myacollection.com/products/zafira-dress
lina-skirt,10238244094285,Lina Φούστα,archive-sale,Archive Sale,0.77,Average,Steady,Established,34,yes,601,24,1,2026-09-23,https://myacollection.com/products/lina-skirt
oriella-kimono,10833820385613,Oriella Kimono,peonies-kimono-dress,Peonies · Kimono dresses,0.77,New,New,New,7,no,397,9,1,2026-09-23,https://myacollection.com/products/oriella-kimono
patricia,10697411199309,Patricia Φόρεμα,ss26-sirens,Sirens SS26,0.77,Average,Rising,Established,106,yes,3495,96,4,2026-09-23,https://myacollection.com/products/patricia
isabella,10710401483085,Isabella Φούστα,ss26-sirens-skirts,Sirens · Skirts,0.76,Average,Rising,Established,14,no,2235,50,2,2026-09-23,https://myacollection.com/products/isabella
angelica-dress,6552849907811,Angelica Dress,archive-sale,Archive Sale,0.75,New,New,New,35,yes,192,0,0,2026-09-23,https://myacollection.com/products/angelica-dress
gaia-jumpsuit,10563135537485,Gaia Ολόσωμη φόρμα,ss26-sirens-jumpsuits,Sirens · Jumpsuits,0.75,Average,Steady,Established,8,no,2809,63,5,2026-09-23,https://myacollection.com/products/gaia-jumpsuit
copy-2,10588786295117,Linus Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,0.75,Average,Fading,Established,23,yes,6068,92,5,2026-09-23,https://myacollection.com/products/copy-2
lyla-top,10563222045005,Lyla Τοπ,ss26-sirens-tops,Sirens · Tops,0.75,Average,Steady,Established,21,no,1281,58,2,2026-09-23,https://myacollection.com/products/lyla-top
amara-skirt,10238252286285,Amara Φούστα,archive-sale,Archive Sale,0.74,Average,Fading,Established,36,yes,669,0,0,2026-09-23,https://myacollection.com/products/amara-skirt
annelise-dress,10863625961805,Annelise Dress,peonies-dress,Peonies · Dresses,0.73,New,New,New,38,no,607,22,4,2026-09-23,https://myacollection.com/products/annelise-dress
menda-dress,10566167626061,Menda Φόρεμα,ss26-sirens,Sirens SS26,0.72,Average,Fading,Established,110,yes,3291,28,1,2026-09-23,https://myacollection.com/products/menda-dress
mirabelle-kids,10703240692045,Mirabelle Kids Φόρεμα,ss26-sirens-kids,Sirens · Kids,0.72,Average,Steady,Established,10,yes,616,6,2,2026-09-23,https://myacollection.com/products/mirabelle-kids
zafrina-dress,10834733793613,Zafrina Dress,peonies-dress,Peonies · Dresses,0.72,New,New,New,39,no,686,7,1,2026-09-23,https://myacollection.com/products/zafrina-dress
eve-jumpsuit,10566210683213,Eve Ολόσωμη φόρμα,ss26-sirens-jumpsuits,Sirens · Jumpsuits,0.71,Average,Fading,Established,9,no,2843,26,0,2026-09-23,https://myacollection.com/products/eve-jumpsuit
indy-top,10563435102541,Indy Τοπ,ss26-sirens-tops,Sirens · Tops,0.71,Average,Fading,Established,22,yes,1665,0,0,2026-09-23,https://myacollection.com/products/indy-top
isabellatop,10710406005069,Isabella Τοπ,ss26-sirens-tops,Sirens · Tops,0.71,Average,Rising,Established,23,no,1220,49,3,2026-09-23,https://myacollection.com/products/isabellatop
eirys-skirt,10563065413965,Eirys Skirt,ss26-sirens-skirts,Sirens · Skirts,0.70,Average,Fading,Established,15,yes,2016,2,1,2026-09-23,https://myacollection.com/products/eirys-skirt
layered-silver-1,10663946092877,Layered Silver Κολιέ,ss26-sirens-accessories,Sirens · Accessories,0.70,Average,Rising,Established,8,yes,611,32,4,2026-09-23,https://myacollection.com/products/layered-silver-1
aviana-limited,10833951162701,Aviana LIMITED,peonies-dress,Peonies · Dresses,0.69,New,New,New,40,no,616,8,1,2026-09-23,https://myacollection.com/products/aviana-limited
ione-2,10710363537741,Ione Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,0.69,Average,Rising,Established,24,no,5338,21,0,2026-09-23,https://myacollection.com/products/ione-2
katia-jumsuit,10834722324813,Katia Jumsuit,peonies-jumpsuits,Peonies · Jumpsuits,0.69,New,New,New,5,no,347,2,0,2026-09-23,https://myacollection.com/products/katia-jumsuit
stella-kimono,10564824432973,Stella Κιμονό,ss26-sirens-kimono-dresses,Sirens · Kimono dresses,0.69,Average,Steady,Established,15,no,2495,29,2,2026-09-23,https://myacollection.com/products/stella-kimono
cressida-dress,10833916559693,Cressida Dress,peonies-dress,Peonies · Dresses,0.68,New,New,New,41,no,616,10,1,2026-09-23,https://myacollection.com/products/cressida-dress
melin-dress,10566165102925,Melin Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,0.68,Average,Fading,Established,25,yes,4266,16,1,2026-09-23,https://myacollection.com/products/melin-dress
nora-1,10758774489421,Nora Φούστα,ss26-sirens-skirts,Sirens · Skirts,0.68,Average,New,Ramping,16,yes,1648,68,4,2026-09-23,https://myacollection.com/products/nora-1
zoe-cape,10563437789517,Zoe Κάπα,ss26-sirens-tops,Sirens · Tops,0.66,Average,Fading,Established,24,yes,1297,10,1,2026-09-23,https://myacollection.com/products/zoe-cape
aria-skirt-1,10563312714061,Aria Skirt,ss26-sirens-skirts,Sirens · Skirts,0.65,Average,Fading,Established,17,no,2041,65,0,2026-09-23,https://myacollection.com/products/aria-skirt-1
leandra-limited,10833979244877,Leandra LIMITED,peonies-dress,Peonies · Dresses,0.65,New,New,New,42,no,583,6,1,2026-09-23,https://myacollection.com/products/leandra-limited
samara-dress,10834074337613,Samara Dress,peonies-dress,Peonies · Dresses,0.65,New,New,New,43,no,650,1,0,2026-09-23,https://myacollection.com/products/samara-dress
vionae-dress,10336362463565,Vionae Κιμονό φόρεμα,archive-sale,Archive Sale,0.65,Average,Fading,Established,37,yes,775,0,0,2026-09-23,https://myacollection.com/products/vionae-dress
camelia,10663947960653,Camelia Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,0.64,Average,Rising,Established,26,no,3911,94,1,2026-09-23,https://myacollection.com/products/camelia
freya-dress,10834090557773,Freya Dress,peonies-dress,Peonies · Dresses,0.64,New,New,New,45,no,526,7,2,2026-09-23,https://myacollection.com/products/freya-dress
mirea-dress,10833985175885,Mirea Dress,peonies-dress,Peonies · Dresses,0.64,New,New,New,44,no,179,2,0,2026-09-23,https://myacollection.com/products/mirea-dress
aura,10633856221517,Aura Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,0.63,Average,Fading,Established,27,no,4354,24,0,2026-09-23,https://myacollection.com/products/aura
marceline,10786231877965,Marceline Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,0.63,Average,New,Ramping,28,no,2561,43,0,2026-09-23,https://myacollection.com/products/marceline
shona-kimono,10564823515469,Shona Κιμονό,ss26-sirens-kimono-dresses,Sirens · Kimono dresses,0.63,Average,Steady,Established,16,yes,2703,53,3,2026-09-23,https://myacollection.com/products/shona-kimono
sierra-dress-1,10566111854925,Sierra Φόρεμα,ss26-sirens,Sirens SS26,0.63,Average,Fading,Established,119,yes,2836,12,2,2026-09-23,https://myacollection.com/products/sierra-dress-1
alina-kids,10703246393677,Alina Kids Φόρεμα,ss26-sirens-kids,Sirens · Kids,0.62,Average,Rising,Established,11,yes,387,6,0,2026-09-23,https://myacollection.com/products/alina-kids
aviana-dress,10833949294925,Aviana Dress,peonies-dress,Peonies · Dresses,0.62,New,New,New,50,no,450,7,0,2026-09-23,https://myacollection.com/products/aviana-dress
evadne-dress,10847616008525,Evadne Dress,peonies-dress,Peonies · Dresses,0.62,New,New,New,46,no,576,0,0,2026-09-23,https://myacollection.com/products/evadne-dress
jolie-dress-1,10834092753229,Jolie Dress,peonies-dress,Peonies · Dresses,0.62,New,New,New,48,no,537,4,1,2026-09-23,https://myacollection.com/products/jolie-dress-1
lavinia-dress-1,10833890148685,Lavinia Dress,peonies-dress,Peonies · Dresses,0.62,New,New,New,49,no,539,5,0,2026-09-23,https://myacollection.com/products/lavinia-dress-1
novalie-dress,10833931174221,Novalie Dress,peonies-dress,Peonies · Dresses,0.62,New,New,New,47,no,206,3,0,2026-09-23,https://myacollection.com/products/novalie-dress
azelie-dress,10833853940045,Azélie Dress,peonies-dress,Peonies · Dresses,0.61,New,New,New,51,no,426,5,1,2026-09-23,https://myacollection.com/products/azelie-dress
ione,10657672266061,Ione Τοπ,ss26-sirens-tops,Sirens · Tops,0.61,Average,Rising,Established,25,no,940,103,5,2026-09-23,https://myacollection.com/products/ione
ismini-1,10745646252365,Ismini Φούστα,ss26-sirens-skirts,Sirens · Skirts,0.61,Average,New,Ramping,19,no,1349,71,3,2026-09-23,https://myacollection.com/products/ismini-1
orlaya-2,10641906958669,Orlaya Φούστα Ροζ,ss26-sirens-skirts,Sirens · Skirts,0.61,Average,Fading,Established,18,yes,2264,37,0,2026-09-23,https://myacollection.com/products/orlaya-2
elyra-dress,10563404235085,Elyra Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,0.60,Average,Fading,Established,30,yes,3912,56,1,2026-09-23,https://myacollection.com/products/elyra-dress
inessa-dress,10833969807693,Inessa Dress,peonies-dress,Peonies · Dresses,0.60,New,New,New,52,no,382,8,2,2026-09-23,https://myacollection.com/products/inessa-dress
mirea-limited,10833998643533,Mirea LIMITED,peonies-dress,Peonies · Dresses,0.60,New,New,New,55,no,443,3,1,2026-09-23,https://myacollection.com/products/mirea-limited
nefeli,10728541159757,Nefeli Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,0.60,Average,New,Ramping,29,no,3741,58,2,2026-09-23,https://myacollection.com/products/nefeli
odelia-dress-1,10833920721229,Odelia Dress,peonies-dress,Peonies · Dresses,0.60,New,New,New,53,no,394,7,1,2026-09-23,https://myacollection.com/products/odelia-dress-1
talia-dress-1,10834083283277,Talia Dress,peonies-dress,Peonies · Dresses,0.60,New,New,New,54,no,261,5,0,2026-09-23,https://myacollection.com/products/talia-dress-1
kiara-dress,10834094031181,Kiara Dress,peonies-dress,Peonies · Dresses,0.59,New,New,New,56,yes,309,6,1,2026-09-23,https://myacollection.com/products/kiara-dress
aria-top-1,10563232760141,Aria Τοπ,ss26-sirens-tops,Sirens · Tops,0.58,Average,Fading,Established,27,no,1141,44,0,2026-09-23,https://myacollection.com/products/aria-top-1
calypso-top-blue,10559164318029,Calypso Τοπ γαλάζιο,ss26-sirens-tops,Sirens · Tops,0.58,Average,Fading,Established,26,yes,959,24,3,2026-09-23,https://myacollection.com/products/calypso-top-blue
livia-jumpsuit,10563137044813,Livia Ολόσωμη φόρμα,ss26-sirens-jumpsuits,Sirens · Jumpsuits,0.58,Average,Steady,Established,10,yes,2017,29,3,2026-09-23,https://myacollection.com/products/livia-jumpsuit
malina-dress,10834710036813,Malina Dress,peonies-dress,Peonies · Dresses,0.58,New,New,New,60,no,353,3,0,2026-09-23,https://myacollection.com/products/malina-dress
copy-copy-79,10833934483789,Novalie LIMITED,peonies-dress,Peonies · Dresses,0.58,New,New,New,61,no,293,2,0,2026-09-23,https://myacollection.com/products/copy-copy-79
orietta-dress,10833897455949,Orietta Dress,peonies-dress,Peonies · Dresses,0.58,New,New,New,58,no,277,3,1,2026-09-23,https://myacollection.com/products/orietta-dress
pink-underdress,8936687141197,Pink Underdress,underdress,Peonies · Underdress,0.58,Average,Steady,Established,4,no,855,76,7,2026-09-23,https://myacollection.com/products/pink-underdress
faline-dress-copy,10847566528845,Rosalie Dress,peonies-dress,Peonies · Dresses,0.58,New,New,New,59,no,362,2,0,2026-09-23,https://myacollection.com/products/faline-dress-copy
vianne-dress,10833912070477,Vianne Dress,peonies-dress,Peonies · Dresses,0.58,New,New,New,57,no,355,3,0,2026-09-23,https://myacollection.com/products/vianne-dress
viora,10636342690125,Viora Φόρεμα,ss26-sirens,Sirens SS26,0.58,Average,Steady,Established,125,no,2091,40,2,2026-09-23,https://myacollection.com/products/viora
aegea-dress,10563131900237,Aegea Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,0.57,Average,Fading,Established,32,yes,4231,22,3,2026-09-23,https://myacollection.com/products/aegea-dress
aurelle,10637297090893,Aurelle Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,0.57,Average,Rising,Established,31,no,2700,79,8,2026-09-23,https://myacollection.com/products/aurelle
eloise-dress-1,10850840478029,Eloise Dress,peonies-dress,Peonies · Dresses,0.57,New,New,New,65,no,281,0,0,2026-09-23,https://myacollection.com/products/eloise-dress-1
iliana-dress,10248477278541,Iliana Dress,archive-sale,Archive Sale,0.57,Average,Fading,Established,38,yes,295,7,0,2026-09-23,https://myacollection.com/products/iliana-dress
kiara-limited,10834095440205,Kiara LIMITED,peonies-dress,Peonies · Dresses,0.57,New,New,New,62,yes,365,3,0,2026-09-23,https://myacollection.com/products/kiara-limited
leandra-dress-1,10833971741005,Leandra Dress,peonies-dress,Peonies · Dresses,0.57,New,New,New,66,no,339,1,0,2026-09-23,https://myacollection.com/products/leandra-dress-1
lyla-skirt,10563307635021,Lyla Skirt,ss26-sirens-skirts,Sirens · Skirts,0.57,Average,Fading,Established,20,no,1538,91,2,2026-09-23,https://myacollection.com/products/lyla-skirt
sorelia-limited,10833928782157,Sorelia LIMITED,peonies-dress,Peonies · Dresses,0.57,New,New,New,64,no,319,3,1,2026-09-23,https://myacollection.com/products/sorelia-limited
tessa-dress,10834101633357,Tessa Dress,peonies-dress,Peonies · Dresses,0.57,New,New,New,63,no,370,4,1,2026-09-23,https://myacollection.com/products/tessa-dress
tessa-limited,10834115395917,Tessa LIMITED,peonies-dress,Peonies · Dresses,0.57,New,New,New,67,no,307,1,0,2026-09-23,https://myacollection.com/products/tessa-limited
byron-dress,10566130303309,Byron Φόρεμα,ss26-sirens,Sirens SS26,0.56,Average,Fading,Established,129,yes,2682,8,1,2026-09-23,https://myacollection.com/products/byron-dress
elyra-body,10563024912717,Elyra Κορμάκι,ss26-sirens-tops,Sirens · Tops,0.56,Average,Fading,Established,28,no,1066,33,1,2026-09-23,https://myacollection.com/products/elyra-body
midas-dress,10566098714957,Midas Φόρεμα,ss26-sirens,Sirens SS26,0.56,Average,Fading,Established,127,yes,2333,8,0,2026-09-23,https://myacollection.com/products/midas-dress
carmine-dress,10074213515597,Carmine Φόρεμα,archive-sale,Archive Sale,0.55,Average,Steady,Established,39,yes,525,20,3,2026-09-23,https://myacollection.com/products/carmine-dress
s26-5048,10559098978637,Ariel Siren Φόρεμα ροζ,ss26-sirens-dresses,Sirens · Dresses,0.54,Average,Fading,Established,33,yes,3979,60,5,2026-09-23,https://myacollection.com/products/s26-5048
turban,10635926929741,Ariel Siren Τουρμπάνι Μπλε,ss26-sirens-accessories,Sirens · Accessories,0.53,Average,Steady,Established,9,yes,368,20,2,2026-09-23,https://myacollection.com/products/turban
indira-skirt,10563304816973,Indira Skirt,ss26-sirens-skirts,Sirens · Skirts,0.53,Average,Fading,Established,21,no,1345,6,0,2026-09-23,https://myacollection.com/products/indira-skirt
irida-top,10730927784269,Irida Τοπ,ss26-sirens-tops,Sirens · Tops,0.53,Average,New,Ramping,29,no,609,52,2,2026-09-23,https://myacollection.com/products/irida-top
luxe-dress,10388197507405,Luxe Φόρεμα,archive-sale,Archive Sale,0.52,Average,Rising,Established,41,no,391,2,0,2026-09-23,https://myacollection.com/products/luxe-dress
lyra-top,10237854777677,Lyra Τοπ,archive-sale,Archive Sale,0.52,Average,Fading,Established,40,yes,437,0,0,2026-09-23,https://myacollection.com/products/lyra-top
calypso-shirt-pink,10559193186637,Calypso Πουκάμισο ροζ,ss26-sirens-tops,Sirens · Tops,0.51,Average,Steady,Established,30,yes,859,35,4,2026-09-23,https://myacollection.com/products/calypso-shirt-pink
ethera-dress,10525047095629,Ethera Φόρεμα,archive-sale,Archive Sale,0.50,Average,Steady,Established,42,yes,522,8,0,2026-09-23,https://myacollection.com/products/ethera-dress
nadia-dress,10730779771213,Nadia Φόρεμα,ss26-sirens,Sirens SS26,0.50,Average,New,Ramping,143,yes,1838,13,0,2026-09-23,https://myacollection.com/products/nadia-dress
arla-top,10566363447629,Arla Τοπ,ss26-sirens-tops,Sirens · Tops,0.49,Low,Fading,Established,32,yes,1033,6,0,2026-09-23,https://myacollection.com/products/arla-top
myriam-dress,10566163464525,Myriam Φόρεμα,ss26-sirens,Sirens SS26,0.49,Low,Fading,Established,149,yes,2321,8,0,2026-09-23,https://myacollection.com/products/myriam-dress
zaria-skirt,10563065872717,Zaria Skirt,ss26-sirens-skirts,Sirens · Skirts,0.49,Low,Fading,Established,22,yes,1598,35,1,2026-09-23,https://myacollection.com/products/zaria-skirt
zaria-top,10563046768973,Zaria Τοπ,ss26-sirens-tops,Sirens · Tops,0.49,Low,Fading,Established,31,no,845,39,1,2026-09-23,https://myacollection.com/products/zaria-top
hilda-dress-champagne,10564841374029,Hilda Φόρεμα σαμπανιζέ,ss26-sirens,Sirens SS26,0.48,Low,Fading,Established,150,no,1744,13,2,2026-09-23,https://myacollection.com/products/hilda-dress-champagne
myra-skirt,10563057189197,Myra Skirt,ss26-sirens-skirts,Sirens · Skirts,0.48,Low,Fading,Established,23,yes,1257,22,2,2026-09-23,https://myacollection.com/products/myra-skirt
kathy-dress,10566165856589,Kathy Φόρεμα,ss26-sirens-dresses,Sirens · Dresses,0.47,Low,Steady,Established,34,yes,3403,83,5,2026-09-23,https://myacollection.com/products/kathy-dress
lissara-skirt,10524680028493,Lissara Φούστα,archive-sale,Archive Sale,0.47,Low,Rising,Established,43,no,470,8,0,2026-09-23,https://myacollection.com/products/lissara-skirt
nai-limited-dress,10571365515597,Nai LIMITED Φόρεμα,ss26-sirens,Sirens SS26,0.47,Low,Fading,Established,151,yes,1841,0,0,2026-09-23,https://myacollection.com/products/nai-limited-dress
ophelia-skirt,10563290530125,Ophelia Skirt,ss26-sirens-skirts,Sirens · Skirts,0.47,Low,Fading,Established,24,yes,926,34,2,2026-09-23,https://myacollection.com/products/ophelia-skirt
